# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20240101
# Data de término: 20240220
ID do país,Usuários
Banking & Finance,2661
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,2565
Sports & Fitness/Sports Fans/Running Enthusiasts,2492
Sports & Fitness/Sports Fans/Hockey Fans,2289
Sports & Fitness/Sports Fans/Cycling Enthusiasts,2124
Vehicles & Transportation,2095
Media & Entertainment/TV Lovers/Documentary & Nonfiction TV Fans,1560
Sports & Fitness/Sports Fans/Cricket Enthusiasts,1503
Food & Dining,1262
Food & Dining/Coffee Shop Regulars,1088
Sports & Fitness/Sports Fans/Winter Sports Enthusiasts,1051
Media & Entertainment/Music Lovers/Jazz Enthusiasts,1044
Media & Entertainment/Music Lovers/Folk & Traditional Music Enthusiasts,1009
News & Politics/Avid News Readers/Men's Media Fans,760
Sports & Fitness/Sports Fans/Fans of Australian Football,652
Sports & Fitness/Sports Fans/Skiing Enthusiasts,547
Media & Entertainment/Movie Lovers/Fans of South Asian Film,398
