Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x93a77fe80bc27573:0x1207800617733e83,Sinop,BR,BR-MT,30,0.3782,0:00:45
0x94cd639daab97a29:0x965051c5272e303e,Caraguatatuba,BR,BR-SP,30,0.1891,0:00:22
0x94cf5b325a970985:0xee86064475a064,Itu,BR,BR-SP,30,0.2689,0:00:32
0x94e01f2d554bdff5:0x1d1feec5ba930bb7,Lages,BR,BR-SC,30,0.2471,0:00:29
0x99bff5afbc21c3:0x81cefcbdcd8acf65,Itaboraí,BR,BR-RJ,29,0.2765,0:00:34
0x7390a3f7b1d2a77:0xfc575920401943ea,Ilhéus,BR,BR-BA,28,0.3025,0:00:38
0x740af3f65676825:0x98b170b3cebd898b,Jequié,BR,BR-BA,28,0.4699,0:01:00
0x92dd50f92324d7b3:0x8abd8fc75566af72,Parauapebas,BR,BR-PA,28,0.3262,0:00:41
0xa1ce6415ba0a79:0xd777eca370ba8a76,São João del Rei,BR,BR-MG,28,0.2643,0:00:33
0x7366c2f220a58f5:0x4aa5d564de993100,Eunápolis,BR,BR-BA,27,0.2691,0:00:35
0x78e37b76378077d:0x585d85fcad6f36fc,Timon,BR,BR-MA,27,0.3263,0:00:43
0x94c895736c9dbcab:0xaff166a9c4289aef,Paulínia,BR,BR-SP,27,0.2296,0:00:30
0x94cb638240ee9d05:0x9c782630346ca79d,Itajubá,BR,BR-MG,27,0.3053,0:00:40
0x978a936f151283:0xff2b16c0bfb117c4,Nova Friburgo,BR,BR-RJ,27,0.3034,0:00:40
0x7a45c0804e3e49d:0xf69be987abbd7f9b,Sousa,BR,BR-PB,26,0.4346,0:01:00
0x7c75a680f6344f5:0xdf7b7d96071db65d,Eusébio,BR,BR-CE,26,0.4338,0:01:00
0x9379c8415a99e261:0x68c26f5b554d755c,Rondonópolis,BR,BR-MT,26,0.2528,0:00:35
0x94cdcccd1a1b762b:0xd7feb2aaeb4805b2,Jacareí,BR,BR-SP,26,0.2562,0:00:35
0x94ce1be795087ec7:0xe6e95e9915fa8605,São Vicente,BR,BR-SP,26,0.3001,0:00:41
0x94f39625c9aa06b9:0xaa4c447b0af0271b,Toledo,BR,BR-PR,26,0.3872,0:00:53
0x996454fda3e67b:0x7a3f4c17541603a3,São João de Meriti,BR,BR-RJ,26,0.2117,0:00:29
0x998d9fc58eb9a7:0x853ea58d8bafb4f6,Maricá,BR,BR-RJ,26,0.3328,0:00:46
0xa686b107f0f8eb:0xff4527c57ed28253,Santa Luzia,BR,BR-MG,26,0.3364,0:00:46
0x92d5ef9625fb9fa5:0x697ed5cde68bbfe7,Balsas,BR,BR-MA,25,0.3232,0:00:46
0x93599a4e0df6e405:0xc8141f04d788aa0d,Luziânia,BR,BR-GO,25,0.2338,0:00:33
0x94ae6296b0810f37:0xde10e83104493c78,Patos de Minas,BR,BR-MG,25,0.4178,0:01:00
0x94bc1e6b7f228597:0x2af440e5dd0adb6e,Catanduva,BR,BR-SP,25,0.3878,0:00:55
0x73696a94abc86ff:0x677df9529c95e80f,Porto Seguro,BR,BR-BA,24,0.3373,0:00:50
0x76ed4b095788d41:0xe89c8ac1ddaeedf9,Irecê,BR,BR-BA,24,0.3432,0:00:51
0x7b997a41dbda6e1:0x424fd208bd2bbf4f,Jaguaruana,BR,BR-CE,24,0.4519,0:01:07
0x7bad6a41f7216d3:0x2799cbfa6bc83582,Martins,BR,BR-RN,24,0.5122,0:01:16
0x94c7260edd4e582b:0x798fe74168f8d19b,Botucatu,BR,BR-SP,24,0.2254,0:00:33
0x94c89d97dedd345f:0xfa0858713f645375,Santa Bárbara d'Oeste,BR,BR-SP,24,0.2665,0:00:39
0x94e2bf7ecbc632df:0x8370fe5f60075c2b,Passo Fundo,BR,BR-RS,24,0.3219,0:00:48
0xb35ef27ad4b0a3:0x189343164098195a,Teófilo Otoni,BR,BR-MG,24,0.2383,0:00:35
0xbc606f20d4e52d:0x3836f9ce8f8f6baa,Itaperuna,BR,BR-RJ,24,0.276,0:00:41
0x773718dc881547f:0xbcbb39e48d5134de,Juazeiro,BR,BR-BA,23,0.3064,0:00:47
0x92923812499d6595:0x86dcffd58f00f2f1,Altamira,BR,BR-PA,23,0.6755,0:01:45
0x94c890ab2f6cf6c5:0xb2d4b062498ecda8,Americana,BR,BR-SP,23,0.2705,0:00:42
0x94ce5c58617ee83b:0xc53b6605800244b2,São Caetano do Sul,BR,BR-SP,23,0.2344,0:00:36
0x94dcff648f31a1f9:0x419537d146fb414,Fazenda Rio Grande,BR,BR-PR,23,0.2093,0:00:32
0x9e9bf8d9cfa62b:0x56dbc34364c7ad23,Barra Mansa,BR,BR-RJ,23,0.2314,0:00:36
0x76d5720ed1473f7:0x3eda83c2d2d73d8a,Senhor do Bonfim,BR,BR-BA,22,0.1724,0:00:28
0x7a53a4a56b2f2fb:0xbe2edb35d12b9a6a,Catolé do Rocha,BR,BR-PB,22,0.2893,0:00:47
0x7aa54a93d22ad87:0x813856d6816ceb4b,Vitória de Santo Antão,BR,BR-PE,22,0.3491,0:00:57
