Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x92cd5e9374be70ab:0x2931debcb64e1ce9,Barra do Corda,BR,BR-MA,22,"0,3261",0:00:53
0x93234fd0dea78da5:0x9d307a3f42890e9c,Paraíso do Tocantins,BR,BR-TO,22,"0,3179",0:00:52
0x934a773622e86c55:0xf5470deb7e28e94,Luis Eduardo Magalhães,BR,BR-BA,22,"0,306",0:00:50
0x93cc90eb6e4fe051:0xc68a36e46797d797,Ariquemes,BR,BR-RO,22,"0,3213",0:00:52
0x95274a45dbfb5d61:0x100bf170797fe362,São José,BR,BR-SC,22,"0,2482",0:00:40
0x735d8b065999d9b:0x63b98e212f142a30,Itabela,BR,BR-BA,21,"0,3901",0:01:06
0x7acde3e4b4747a9:0xbcdd1cad79eabb22,Cabedelo,BR,BR-PB,21,"1,3673",0:03:54
0x7bb58c51eff9361:0x3972549b392fb28f,Jaguaribe,BR,BR-CE,21,"0,6384",0:01:49
0x94c8bcfd64c3182d:0x8e575af90f766b31,Sumaré,BR,BR-SP,21,"1,1077",0:03:09
0x94eb435a57af586d:0x23ac11a5c614f971,Londrina,BR,BR-PR,21,"3,0471",0:08:42
0x9960d6f982732d:0x5126512d903e1f92,Mesquita,BR,BR-RJ,21,"0,317",0:00:54
0x9c077168631157:0xbf83d242ae07f5d2,Itaguaí,BR,BR-RJ,21,"0,6075",0:01:44
0xa2c97173188cdf:0x5e8991119dcc5f13,Leopoldina,BR,BR-MG,21,"0,3787",0:01:04
0x7107012e4de6781:0x2e46ea8df410fb42,Estância,BR,BR-SE,20,"0,28",0:00:50
0x75cd01172d3adf5:0x8e52d098d04d37f,Macaúbas,BR,BR-BA,20,"0,3255",0:00:58
0x7b8cb5f93544363:0x50ccf36672a12916,Barreira,BR,BR-CE,20,"0,2781",0:00:50
0x928f555a6909248b:0xc87f2f8282eacfcb,Monte Alegre,BR,BR-PA,20,"0,3635",0:01:05
0x92aedecce67a1a81:0xc45456e67f178087,Bragança,BR,BR-PA,20,"0,251",0:00:45
0x92af144e30cc4951:0x39dd24007e864a15,Capanema,BR,BR-PA,20,"0,3906",0:01:10
0x952142592ca52293:0xf8e8b689980101de,Tubarão,BR,BR-SC,20,"0,5471",0:01:38
0x9961526f46bb6d:0xd2563dabf7a4ada2,Nilópolis,BR,BR-RJ,20,"1,1863",0:03:33
0xab54b430dce6f5:0x231bf948b0041bbb,Montes Claros,BR,BR-MG,20,"0,3455",0:01:02
0x79f00a68fca91cb:0x7c2b3b1404a4a508,Araripina,BR,BR-PE,19,"0,1898",0:00:35
0x7c0889d9e2a65bb:0x8033360a6e3fe0d2,Pentecoste,BR,BR-CE,19,"1,2479",0:03:56
0x92b34e74a7b770c3:0xad3da38e6bcd7dec,Pinheiro,BR,BR-MA,19,"0,3767",0:01:11
0x935a6ff8c53ef657:0x6bacb765fe50147d,Planaltina,BR,BR-GO,19,"0,245",0:00:46
0x94cf004a6c29542f:0x89d7d06ffc024cbf,Carapicuíba,BR,BR-SP,19,"0,38",0:01:11
0x9e778dd541f595:0x3823b6f49a15df81,Resende,BR,BR-RJ,19,"1,5192",0:04:47
