Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x94ce5c58617ee83b:0xc53b6605800244b2,São Caetano do Sul,BR,BR-SP,47,0.4985,0:00:38
0x7070d200a110927:0x51f45fae994f83b3,Garanhuns,BR,BR-PE,46,0.5232,0:00:40
0x9359823fe2633e47:0x6705012ead5650af,Novo Gama,BR,BR-DF,46,0.5532,0:00:43
0x94ca8d430fe13d3d:0xe33534145f319cfd,Varginha,BR,BR-MG,45,0.5013,0:00:40
0x94ce546123a13c61:0x1f856c4bbae6eb84,Taboão da Serra,BR,BR-SP,45,0.4177,0:00:33
0xb857603fd9399d:0xb44c9166b2c1b315,Guarapari,BR,BR-ES,45,0.3378,0:00:27
0x94cf004a6c29542f:0x89d7d06ffc024cbf,Carapicuíba,BR,BR-SP,44,0.4554,0:00:37
0x94cfa8da1b269d77:0xb03b39035ef04ea5,Cotia,BR,BR-SP,44,0.4266,0:00:34
0x7954b6af4595227:0xe0ece6e4f3ec3d5b,Sobral,BR,BR-CE,43,0.4339,0:00:36
0x94cf03dd6a1db995:0x70548836d6e4a9a2,Barueri,BR,BR-SP,43,0.6945,0:00:58
0x94cfd54e9bf2326d:0x322103163db80ccb,Itanhaém,BR,BR-SP,43,0.4068,0:00:34
0x94d8b65cc2e52aad:0x2dc004f5e6adebc4,Balneário Camboriú,BR,BR-SC,43,0.4395,0:00:36
0x9527320ed5be2ac1:0x3d87163b9d90aa06,Palhoça,BR,BR-SC,43,0.4166,0:00:34
0x94ce00420b733eab:0xf42377f671ac1314,Guarujá,BR,BR-SP,42,0.3356,0:00:28
0x94ce69549e48e43f:0xe210627a68fc88df,Mauá,BR,BR-SP,42,0.347,0:00:29
0x92a5af3f73727753:0xfbb120300e172d46,Castanhal,BR,BR-PA,41,0.4992,0:00:43
0x95190ce6fc96447f:0x1fa4b4a901f40597,Gravataí,BR,BR-RS,40,0.3153,0:00:28
0x917f7bb68acc96f3:0x8ab88f1d7f1d9b3c,Rio Branco,BR,BR-AC,39,0.406,0:00:37
0xa686b107f0f8eb:0xff4527c57ed28253,Santa Luzia,BR,BR-MG,39,0.2527,0:00:23
0x7737a8452b2d649:0xa0e71dc0c94e0aed,Petrolina,BR,BR-PE,38,0.5752,0:00:54
0x7b22f8ce4cc29c7:0xa2be3cf41fbc7387,São Paulo do Potengi,BR,BR-RN,38,0.2905,0:00:27
0x9519424ad6403661:0x5d959f79a24a61c8,Novo Hamburgo,BR,BR-RS,38,0.2093,0:00:19
0x94c5d85d684d6c69:0x9b69b0dd15b43d0a,Tatuí,BR,BR-SP,37,0.2199,0:00:21
0x94c7260edd4e582b:0x798fe74168f8d19b,Botucatu,BR,BR-SP,37,0.3052,0:00:29
0x94c8cdaee7763fcf:0x382e43ff2cf3dd00,Valinhos,BR,BR-SP,37,0.2967,0:00:28
0x94ce7adb7b470301:0xdacb5b740208149,Poá,BR,BR-SP,37,0.31,0:00:30
0xb95d3d7ef7ecb9:0xa68aadb2a822a95,Cachoeiro de Itapemirim,BR,BR-ES,37,0.3112,0:00:30
0x94c8b95bfb508f39:0x1ce857c1058169b4,Hortolândia,BR,BR-SP,36,0.3244,0:00:32
0x9526ca8d9036d5d3:0x222b8b3dc2b114ce,Imbituba,BR,BR-SC,36,0.6066,0:01:00
0x7aa24fd35ab44f5:0xd902825d05a2cec9,Bezerros,BR,BR-PE,35,0.3349,0:00:34
0x94e2bf7ecbc632df:0x8370fe5f60075c2b,Passo Fundo,BR,BR-RS,35,0.4004,0:00:41
0x95119baebc1a1471:0x7be08e7dc9440b88,Rio Grande,BR,BR-RS,35,0.2601,0:00:26
0x739ab1ec404e2fb:0xc99a7293581f2b67,Itabuna,BR,BR-BA,34,0.3254,0:00:34
0x949644777aaaf101:0xe8b1a2cfce0a1d27,Araçatuba,BR,BR-SP,34,0.3812,0:00:40
0x94bc1e6b7f228597:0x2af440e5dd0adb6e,Catanduva,BR,BR-SP,34,0.2325,0:00:24
0x94cb638240ee9d05:0x9c782630346ca79d,Itajubá,BR,BR-MG,34,0.2467,0:00:26
0x95187831add3070b:0x4b0a228bd2c5b9bf,Xangri-Lá,BR,BR-RS,34,0.2788,0:00:29
0x94ae6296b0810f37:0xde10e83104493c78,Patos de Minas,BR,BR-MG,33,0.2173,0:00:23
0x94cbc760a7bfd6cf:0x4c8a471861feb268,Pouso Alegre,BR,BR-MG,33,0.2551,0:00:27
0x952142592ca52293:0xf8e8b689980101de,Tubarão,BR,BR-SC,33,0.223,0:00:24
0x99b2d304f9e55f:0x7bf2f5c84f7654a5,Teresópolis,BR,BR-RJ,33,0.2581,0:00:28
